[20260731.190211.817-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=1,n=1,mode=s,dt=0,acq=84123,wak=379,mrq=29,drq=26,upd=2706,enu=7588,rem=40,dmg=2750,snd=92,tot=13228,dr=1,mr=0,mrmax=0,area=2010690,win=3,iwn=12,wev=7,sends=6,skip=0,log=0
[20260731.190211.848-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=2,n=1,mode=s,dt=30275,acq=26705,wak=28,mrq=70,drq=32,upd=3,enu=2,rem=3,dmg=1375,snd=84,tot=1518,dr=1,mr=0,mrmax=0,area=1037381,win=3,iwn=0,wev=0,sends=6,skip=0,log=22
[20260731.190212.411-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=3,n=1,mode=s,dt=555734,acq=554016,wak=36,mrq=10,drq=49,upd=5,enu=5,rem=6,dmg=1172,snd=43,tot=1311,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=0,wev=0,sends=2,skip=0,log=12
[20260731.190212.926-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=4,n=1,mode=s,dt=515661,acq=513983,wak=37,mrq=13,drq=66,upd=7,enu=5,rem=5,dmg=983,snd=39,tot=1103,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=0,wev=0,sends=2,skip=0,log=83
[20260731.190213.473-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=5,n=1,mode=s,dt=547018,acq=545692,wak=33,mrq=9,drq=30,upd=6,enu=5,rem=5,dmg=1031,snd=42,tot=1155,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=0,wev=0,sends=2,skip=0,log=37
[20260731.190214.004-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=6,n=1,mode=s,dt=530971,acq=529591,wak=16,mrq=9,drq=27,upd=615,enu=5415,rem=5,dmg=546,snd=37,tot=6679,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=5,wev=0,sends=2,skip=0,log=40
[20260731.190214.536-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=7,n=1,mode=s,dt=531281,acq=524410,wak=35,mrq=9,drq=24,upd=6,enu=4,rem=6,dmg=649,snd=41,tot=744,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=0,wev=0,sends=2,skip=0,log=28
[20260731.190215.067-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=8,n=1,mode=s,dt=532181,acq=531204,wak=42,mrq=16,drq=33,upd=6,enu=5,rem=6,dmg=1323,snd=40,tot=1419,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=0,wev=0,sends=2,skip=0,log=33
[20260731.190215.614-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=9,n=1,mode=s,dt=546110,acq=544475,wak=32,mrq=10,drq=29,upd=5,enu=4,rem=5,dmg=650,snd=38,tot=741,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=0,wev=0,sends=2,skip=0,log=29
[20260731.190216.129-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=10,n=1,mode=s,dt=515856,acq=514828,wak=74,mrq=13,drq=30,upd=926,enu=5155,rem=5,dmg=596,snd=43,tot=6778,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=5,wev=0,sends=2,skip=0,log=46
[20260731.190216.661-2832-I] PerfEmitFrame: QGAPERF,v=2,seq=11,n=1,mode=s,dt=530952,acq=523854,wak=36,mrq=9,drq=25,upd=24,enu=646,rem=15,dmg=835,snd=36,tot=1599,dr=1,mr=0,mrmax=0,area=18,win=3,iwn=1,wev=1,sends=2,skip=0,log=126
